TIPREG,DATAPREG,CODDBI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
1,2016-02-17,78,ITUBC63,70,ITUB,PN N1,000,R$,0.08,0.12,0.07,0.1,0.09,0.09,0.1,149,419800,43308.0,29.18,0,2016-03-21,1,0.0,BRITUBACNPR1,186
1,2016-02-17,78,ITUBC64,70,ITUB,PN N1,000,R$,0.06,0.06,0.06,0.06,0.06,0.0,0.0,1,1000,60.0,29.63,0,2016-03-21,1,0.0,BRITUBACNPR1,186
1,2016-02-17,78,ITUBC65,70,ITUBE,PN N1,000,R$,1.25,1.66,1.18,1.37,1.2,0.38,1.3,414,573300,786251.0,24.84,0,2016-03-21,1,0.0,BRITUBACNPR1,198
1,2016-02-17,78,ITUBC67,70,ITUBE,PN N1,000,R$,0.43,0.62,0.43,0.49,0.46,0.11,0.0,31,53300,26440.0,26.72,0,2016-03-21,1,0.0,BRITUBACNPR1,197
1,2016-02-17,78,ITUBC68,70,ITUBE,PN N1,000,R$,0.34,0.43,0.22,0.37,0.22,0.2,0.5,20,82100,30969.0,27.22,0,2016-03-21,1,0.0,BRITUBACNPR1,201
1,2016-02-17,78,ITUBC74,70,ITUB FM,PN N1,000,R$,1.71,2.22,1.38,1.91,1.79,0.21,0.0,848,1105100,2116184.0,24.09,0,2016-03-21,1,0.0,BRITUBACNPR1,199
1,2016-02-17,78,ITUBC77,70,ITUB FM,PN N1,000,R$,0.33,0.52,0.26,0.42,0.37,0.34,0.48,214,1813800,768829.0,26.97,0,2016-03-21,1,0.0,BRITUBACNPR1,198
1,2016-02-17,78,ITUBC84,70,ITUBE,PN N1,000,R$,1.79,2.02,1.68,1.82,2.01,0.36,0.0,7,10900,19875.0,24.34,0,2016-03-21,1,0.0,BRITUBACNPR1,200
1,2016-02-17,78,ITUBC87,70,ITUB,PN N1,000,R$,0.3,0.4,0.29,0.3,0.31,0.0,0.28,104,2102100,633503.0,27.47,0,2016-03-21,1,0.0,BRITUBACNPR1,199
1,2016-02-17,78,ITUBD1,70,ITUB FM,PN N1,000,R$,2.64,3.12,2.33,2.78,2.7,0.5,0.0,255,520200,1448098.0,23.54,0,2016-04-18,1,0.0,BRITUBACNPR1,201
